authors,dates,statements,sources,targets,BianryTarget,BianryNumTarget
Loreben Tuquero,"February 6, 2026","An image shows Jeffrey Epstein “still alive and walking the streets of Tel Aviv,” Israel.",Social Media,pants-fire,Fake,0
Amy Sherman,"February 6, 2026","Under Michigan Gov. Gretchen Whitmer, there are “fewer families living in poverty” than under her predecessor.",Gretchen Whitmer,half-true,Fake,0
Louis Jacobson,"February 2, 2026","Among Somalis in Minnesota, “92% of them don’t work.”",Donald Trump,pants-fire,Fake,0
Maria Briceño,"February 2, 2026","Images show New York City Mayor Zohran Mamdani as a child with his mother, Mira Nair, and Jeffrey Epstein.",X posts,pants-fire,Fake,0
Loreben Tuquero,"January 29, 2026","In artificial intelligence, “We're leading China by a lot.”",Donald Trump,half-true,Fake,0
Samantha Putterman,"January 28, 2026",The Federal Emergency Management Agency’s “backlog of unanswered disaster assistance applications has exploded to the largest in its history.”,Jared Moskowitz,mostly-true,Real,1
Amy Sherman,"January 28, 2026","""Right now we're focused on Minneapolis because that's where we have the highest concentration of people who have violated our immigration laws.""",JD Vance,false,Fake,0
Maria Briceño,"January 27, 2026","An image shows Alex Pretti holding a gun, not a phone, while pinned by federal immigration agents in Minneapolis.",X posts,false,Fake,0
Louis Jacobson,"January 27, 2026",“You cannot bring a firearm loaded with multiple magazines to any sort of protest that you want. It’s that simple.”,Kash Patel,barely-true,Fake,0
Maria Briceño,"January 26, 2026",Protesters against the federal immigration crackdown in Minnesota are conducting “fake protests done by agitators and professional insurrectionists. …They're professional troublemakers.”,Donald Trump,false,Fake,0
Madison Czopek,"January 26, 2026",Trees can explode if temperatures drop to 20 degrees below zero.,Social Media,barely-true,Fake,0
Loreben Tuquero,"January 26, 2026",Evan Kilgore is one of the Border Patrol agents who shot Alex Pretti in Minneapolis.,Social Media,pants-fire,Fake,0
Maria Briceño,"January 26, 2026","Donald Trump posted on Truth Social, “Only criminals carry guns on our streets, we need law and order.”",Social Media,pants-fire,Fake,0
Paul Specht,"January 23, 2026","“Trump’s $2,000 tariff dividend is live but you must act.”",Major Gross Profit,false,Fake,0
Maria Briceño,"January 21, 2026","Video showing a vacant lot at a Venice, California, address where 26 voters were registered exposes voter fraud.",Benny Johnson,false,Fake,0
Grace Abels,"January 15, 2026",The former U.S. childhood vaccine schedule called for babies to get “72 injections.”,Donald Trump,false,Fake,0
Madison Czopek,"January 15, 2026",“No están recibiendo el entrenamiento tradicional de cinco meses… .El entrenamiento para los agentes de ICE ahora es de 47 días”.,Mark Warner,mostly-true,Real,1
Amy Sherman,"January 15, 2026",A letter sent to postal service employees about working during emergencies such as civil unrest is a sign that President Donald Trump will impose martial law.,Social Media,false,Fake,0
